"year","round","series","tmIDWinner","lgIDWinner","tmIDLoser","lgIDLoser","W","L"
"1995","CSF","M","CHI","NBA","NYK","NBA","4","1"
"1995","CSF","M","ORL","NBA","ATL","NBA","4","1"
"1995","F","O","CHI","NBA","SEA","NBA","4","2"
"1995","CF","N","SEA","NBA","UTA","NBA","4","3"
"1995","CFR","L","HOU","NBA","LAL","NBA","3","1"
"1995","CFR","L","SAS","NBA","PHO","NBA","3","1"
"1995","CFR","L","SEA","NBA","SAC","NBA","3","1"
"1995","CFR","L","UTA","NBA","POR","NBA","3","2"
"1995","CSF","M","SEA","NBA","HOU","NBA","4","0"
"1995","CSF","M","UTA","NBA","SAS","NBA","4","2"
"1996","CF","N","CHI","NBA","MIA","NBA","4","1"
"1996","CFR","L","CHI","NBA","WSB","NBA","3","0"
"1996","CFR","L","NYK","NBA","CHH","NBA","3","0"
"1996","CFR","L","ATL","NBA","DET","NBA","3","2"
"1996","CFR","L","MIA","NBA","ORL","NBA","3","2"
"1996","CSF","M","CHI","NBA","ATL","NBA","4","1"
"1996","CSF","M","MIA","NBA","NYK","NBA","4","3"
"1996","F","O","CHI","NBA","UTA","NBA","4","2"
"1996","CF","N","UTA","NBA","HOU","NBA","4","2"
"1996","CFR","L","HOU","NBA","MIN","NBA","3","0"
"1996","CFR","L","UTA","NBA","LAC","NBA","3","0"
"1996","CFR","L","LAL","NBA","POR","NBA","3","1"
"1996","CFR","L","SEA","NBA","PHO","NBA","3","2"
"1996","CSF","M","UTA","NBA","LAL","NBA","4","1"
"1996","CSF","M","HOU","NBA","SEA","NBA","4","3"
"1997","CF","N","CHI","NBA","IND","NBA","4","3"
"1997","CFR","L","CHI","NBA","NJN","NBA","3","0"
"1997","CFR","L","CHH","NBA","ATL","NBA","3","1"
"1997","CFR","L","IND","NBA","CLE","NBA","3","1"
"1997","CFR","L","NYK","NBA","MIA","NBA","3","2"
"1997","CSF","M","CHI","NBA","CHH","NBA","4","1"
"1997","CSF","M","IND","NBA","NYK","NBA","4","1"
"1997","F","O","CHI","NBA","UTA","NBA","4","2"
"1997","CF","N","UTA","NBA","LAL","NBA","4","0"
"1997","CFR","L","LAL","NBA","POR","NBA","3","1"
"1997","CFR","L","SAS","NBA","PHO","NBA","3","1"
"1997","CFR","L","SEA","NBA","MIN","NBA","3","2"
"1997","CFR","L","UTA","NBA","HOU","NBA","3","2"
"1997","CSF","M","LAL","NBA","SEA","NBA","4","1"
"1997","CSF","M","UTA","NBA","SAS","NBA","4","1"
"1998","CF","N","NYK","NBA","IND","NBA","4","2"
"1998","CFR","L","IND","NBA","MIL","NBA","3","0"
"1998","CFR","L","PHI","NBA","ORL","NBA","3","1"
"1998","CFR","L","ATL","NBA","DET","NBA","3","2"
"1998","CFR","L","NYK","NBA","MIA","NBA","3","2"
"1998","CSF","M","IND","NBA","PHI","NBA","4","0"
"1998","CSF","M","NYK","NBA","ATL","NBA","4","0"
"1998","F","O","SAS","NBA","NYK","NBA","4","1"
"1998","CF","N","SAS","NBA","POR","NBA","4","0"
"1998","CFR","L","POR","NBA","PHO","NBA","3","0"
"1998","CFR","L","LAL","NBA","HOU","NBA","3","1"
"1998","CFR","L","SAS","NBA","MIN","NBA","3","1"
"1998","CFR","L","UTA","NBA","SAC","NBA","3","2"
"1998","CSF","M","SAS","NBA","LAL","NBA","4","0"
"1998","CSF","M","POR","NBA","UTA","NBA","4","2"
"1999","CF","N","IND","NBA","NYK","NBA","4","2"
"1999","CFR","L","MIA","NBA","DET","NBA","3","0"
"1999","CFR","L","NYK","NBA","TOR","NBA","3","0"
"1999","CFR","L","PHI","NBA","CHH","NBA","3","1"
"1999","CFR","L","IND","NBA","MIL","NBA","3","2"
"1999","CSF","M","IND","NBA","PHI","NBA","4","2"
"1999","CSF","M","NYK","NBA","MIA","NBA","4","3"
"1999","F","O","LAL","NBA","IND","NBA","4","2"
"1999","CF","N","LAL","NBA","POR","NBA","4","3"
"1999","CFR","L","PHO","NBA","SAS","NBA","3","1"
"1999","CFR","L","POR","NBA","MIN","NBA","3","1"
"1999","CFR","L","LAL","NBA","SAC","NBA","3","2"
"1999","CFR","L","UTA","NBA","SEA","NBA","3","2"
"1999","CSF","M","LAL","NBA","PHO","NBA","4","1"
"1999","CSF","M","POR","NBA","UTA","NBA","4","1"
"2000","CF","N","PHI","NBA","MIL","NBA","4","3"
"2000","CFR","L","CHH","NBA","MIA","NBA","3","0"
"2000","CFR","L","MIL","NBA","ORL","NBA","3","1"
"2000","CFR","L","PHI","NBA","IND","NBA","3","1"
"2000","CFR","L","TOR","NBA","NYK","NBA","3","2"
"2000","CSF","M","MIL","NBA","CHH","NBA","4","3"
"2000","CSF","M","PHI","NBA","TOR","NBA","4","3"
"2000","F","O","LAL","NBA","PHI","NBA","4","1"
"2000","CF","N","LAL","NBA","SAS","NBA","4","0"
"2000","CFR","L","LAL","NBA","POR","NBA","3","0"
"2000","CFR","L","SAC","NBA","PHO","NBA","3","1"
"2000","CFR","L","SAS","NBA","MIN","NBA","3","1"
"2000","CFR","L","DAL","NBA","UTA","NBA","3","2"
"2000","CSF","M","LAL","NBA","SAC","NBA","4","0"
"2000","CSF","M","SAS","NBA","DAL","NBA","4","1"
"2001","CF","N","NJN","NBA","BOS","NBA","4","2"
"2001","CFR","L","CHH","NBA","ORL","NBA","3","1"
"2001","CFR","L","BOS","NBA","PHI","NBA","3","2"
"2001","CFR","L","DET","NBA","TOR","NBA","3","2"
"2001","CFR","L","NJN","NBA","IND","NBA","3","2"
"2001","CSF","M","BOS","NBA","DET","NBA","4","1"
"2001","CSF","M","NJN","NBA","CHH","NBA","4","1"
"2001","F","O","LAL","NBA","NJN","NBA","4","0"
"2001","CF","N","LAL","NBA","SAC","NBA","4","3"
"2001","CFR","L","DAL","NBA","MIN","NBA","3","0"
"2001","CFR","L","LAL","NBA","POR","NBA","3","0"
"2001","CFR","L","SAC","NBA","UTA","NBA","3","1"
"2001","CFR","L","SAS","NBA","SEA","NBA","3","2"
"2001","CSF","M","LAL","NBA","SAS","NBA","4","1"
"2001","CSF","M","SAC","NBA","DAL","NBA","4","1"
"2002","CF","N","NJN","NBA","DET","NBA","4","0"
"2002","CFR","L","BOS","NBA","IND","NBA","4","2"
"2002","CFR","L","NJN","NBA","MIL","NBA","4","2"
"2002","CFR","L","PHI","NBA","NOH","NBA","4","2"
"2002","CFR","L","DET","NBA","ORL","NBA","4","3"
"2002","CSF","M","NJN","NBA","BOS","NBA","4","0"
"2002","CSF","M","DET","NBA","PHI","NBA","4","2"
"2002","F","O","SAS","NBA","NJN","NBA","4","2"
"2002","CF","N","SAS","NBA","DAL","NBA","4","2"
"2002","CFR","L","SAC","NBA","UTA","NBA","4","1"
"2002","CFR","L","LAL","NBA","MIN","NBA","4","2"
"2002","CFR","L","SAS","NBA","PHO","NBA","4","2"
"2002","CFR","L","DAL","NBA","POR","NBA","4","3"
"2002","CSF","M","SAS","NBA","LAL","NBA","4","2"
"2002","CSF","M","DAL","NBA","SAC","NBA","4","3"
"2003","CF","N","DET","NBA","IND","NBA","4","2"
"2003","CFR","L","IND","NBA","BOS","NBA","4","0"
"2003","CFR","L","NJN","NBA","NYK","NBA","4","0"
"2003","CFR","L","DET","NBA","MIL","NBA","4","1"
"2003","CFR","L","MIA","NBA","NOH","NBA","4","3"
"2003","CSF","M","IND","NBA","MIA","NBA","4","2"
"2003","CSF","M","DET","NBA","NJN","NBA","4","3"
"2003","F","O","DET","NBA","LAL","NBA","4","1"
"2003","CF","N","LAL","NBA","MIN","NBA","4","2"
"2003","CFR","L","SAS","NBA","MEM","NBA","4","0"
"2003","CFR","L","LAL","NBA","HOU","NBA","4","1"
"2003","CFR","L","MIN","NBA","DEN","NBA","4","1"
"2003","CFR","L","SAC","NBA","DAL","NBA","4","1"
"2003","CSF","M","LAL","NBA","SAS","NBA","4","2"
"2003","CSF","M","MIN","NBA","SAC","NBA","4","3"
"2004","CF","N","DET","NBA","MIA","NBA","4","3"
"2004","CFR","L","MIA","NBA","NJN","NBA","4","0"
"2004","CFR","L","DET","NBA","PHI","NBA","4","1"
"2004","CFR","L","WAS","NBA","CHI","NBA","4","2"
"2004","CFR","L","IND","NBA","BOS","NBA","4","3"
"2004","CSF","M","MIA","NBA","WAS","NBA","4","0"
"2004","CSF","M","DET","NBA","IND","NBA","4","2"
"2004","F","O","SAS","NBA","DET","NBA","4","3"
"2004","CF","N","SAS","NBA","PHO","NBA","4","1"
"2004","CFR","L","PHO","NBA","MEM","NBA","4","0"
"2004","CFR","L","SAS","NBA","DEN","NBA","4","1"
"2004","CFR","L","SEA","NBA","SAC","NBA","4","1"
"2004","CFR","L","DAL","NBA","HOU","NBA","4","3"
"2004","CSF","M","PHO","NBA","DAL","NBA","4","2"
"2004","CSF","M","SAS","NBA","SEA","NBA","4","2"
"2005","CF","N","MIA","NBA","DET","NBA","4","2"
"2005","CFR","L","DET","NBA","MIL","NBA","4","1"
"2005","CFR","L","CLE","NBA","WAS","NBA","4","2"
"2005","CFR","L","MIA","NBA","CHI","NBA","4","2"
"2005","CFR","L","NJN","NBA","IND","NBA","4","2"
"2005","CSF","M","MIA","NBA","NJN","NBA","4","1"
"2005","CSF","M","DET","NBA","CLE","NBA","4","3"
"2005","F","O","MIA","NBA","DAL","NBA","4","2"
"2005","CF","N","DAL","NBA","PHO","NBA","4","2"
"2005","CFR","L","DAL","NBA","MEM","NBA","4","0"
"2005","CFR","L","LAC","NBA","DEN","NBA","4","1"
"2005","CFR","L","SAS","NBA","SAC","NBA","4","2"
"2005","CFR","L","PHO","NBA","LAL","NBA","4","3"
"2005","CSF","M","DAL","NBA","SAS","NBA","4","3"
"2005","CSF","M","PHO","NBA","LAC","NBA","4","3"
"2006","CF","N","CLE","NBA","DET","NBA","4","2"
"2006","CFR","L","CHI","NBA","MIA","NBA","4","0"
"2006","CFR","L","CLE","NBA","WAS","NBA","4","0"
"2006","CFR","L","DET","NBA","ORL","NBA","4","0"
"2006","CFR","L","NJN","NBA","TOR","NBA","4","2"
"2006","CSF","M","CLE","NBA","NJN","NBA","4","2"
"2006","CSF","M","DET","NBA","CHI","NBA","4","2"
"2006","F","O","SAS","NBA","CLE","NBA","4","0"
"2006","CF","N","SAS","NBA","UTA","NBA","4","1"
"2006","CFR","L","PHO","NBA","LAL","NBA","4","1"
"2006","CFR","L","SAS","NBA","DEN","NBA","4","1"
"2006","CFR","L","GSW","NBA","DAL","NBA","4","2"
"2006","CFR","L","UTA","NBA","HOU","NBA","4","3"
"2006","CSF","M","UTA","NBA","GSW","NBA","4","1"
"2006","CSF","M","SAS","NBA","PHO","NBA","4","2"
"2007","CF","N","BOS","NBA","DET","NBA","4","2"
"2007","CFR","L","ORL","NBA","TOR","NBA","4","1"
"2007","CFR","L","CLE","NBA","WAS","NBA","4","2"
"2007","CFR","L","DET","NBA","PHI","NBA","4","2"
"2007","CFR","L","BOS","NBA","ATL","NBA","4","3"
"2007","CSF","M","DET","NBA","ORL","NBA","4","1"
"2007","CSF","M","BOS","NBA","CLE","NBA","4","3"
"2007","F","O","BOS","NBA","LAL","NBA","4","2"
"2007","CF","N","LAL","NBA","SAS","NBA","4","1"
"2007","CFR","L","LAL","NBA","DEN","NBA","4","0"
"2007","CFR","L","NOH","NBA","DAL","NBA","4","1"
"2007","CFR","L","SAS","NBA","PHO","NBA","4","1"
"2007","CFR","L","UTA","NBA","HOU","NBA","4","2"
"2007","CSF","M","LAL","NBA","UTA","NBA","4","2"
"2007","CSF","M","SAS","NBA","NOH","NBA","4","3"
"2008","CF","N","ORL","NBA","CLE","NBA","4","2"
"2008","CFR","L","CLE","NBA","DET","NBA","4","0"
"2008","CFR","L","ORL","NBA","PHI","NBA","4","2"
"2008","CFR","L","ATL","NBA","MIA","NBA","4","3"
"2008","CFR","L","BOS","NBA","CHI","NBA","4","3"
"2008","CSF","M","CLE","NBA","ATL","NBA","4","0"
"2008","CSF","M","ORL","NBA","BOS","NBA","4","3"
"2008","F","O","LAL","NBA","ORL","NBA","4","1"
"2008","CF","N","LAL","NBA","DEN","NBA","4","2"
"2008","CFR","L","DAL","NBA","SAS","NBA","4","1"
"2008","CFR","L","DEN","NBA","NOH","NBA","4","1"
"2008","CFR","L","LAL","NBA","UTA","NBA","4","1"
"2008","CFR","L","HOU","NBA","POR","NBA","4","2"
"2008","CSF","M","DEN","NBA","DAL","NBA","4","1"
"2008","CSF","M","LAL","NBA","HOU","NBA","4","3"
"2009","CF","N","BOS","NBA","ORL","NBA","4","2"
"2009","CFR","L","ORL","NBA","CHA","NBA","4","0"
"2009","CFR","L","BOS","NBA","MIA","NBA","4","1"
"2009","CFR","L","CLE","NBA","CHI","NBA","4","1"
"2009","CFR","L","ATL","NBA","MIL","NBA","4","3"
"2009","CSF","M","ORL","NBA","ATL","NBA","4","0"
"2009","CSF","M","BOS","NBA","CLE","NBA","4","2"
"2009","F","O","LAL","NBA","BOS","NBA","4","3"
"2009","CF","N","LAL","NBA","PHO","NBA","4","2"
"2009","CFR","L","LAL","NBA","OKC","NBA","4","2"
"2009","CFR","L","PHO","NBA","POR","NBA","4","2"
"2009","CFR","L","SAS","NBA","DAL","NBA","4","2"
"2009","CFR","L","UTA","NBA","DEN","NBA","4","2"
"2009","CSF","M","LAL","NBA","UTA","NBA","4","0"
"2009","CSF","M","PHO","NBA","SAS","NBA","4","0"
"2010","CF","N","MIA","NBA","CHI","NBA","4","1"
"2010","CFR","L","BOS","NBA","NYK","NBA","4","0"
"2010","CFR","L","CHI","NBA","IND","NBA","4","1"
"2010","CFR","L","MIA","NBA","PHI","NBA","4","1"
"2010","CFR","L","ATL","NBA","ORL","NBA","4","2"
"2010","CSF","M","MIA","NBA","BOS","NBA","4","1"
"2010","CSF","M","CHI","NBA","ATL","NBA","4","2"
"2010","F","O","DAL","NBA","MIA","NBA","4","2"
"2010","CF","N","DAL","NBA","OKC","NBA","4","1"
"2010","CFR","L","OKC","NBA","DEN","NBA","4","1"
"2010","CFR","L","DAL","NBA","POR","NBA","4","2"
"2010","CFR","L","LAL","NBA","NOH","NBA","4","2"
"2010","CFR","L","MEM","NBA","SAS","NBA","4","2"
"2010","CSF","M","DAL","NBA","LAL","NBA","4","0"
"2010","CSF","M","OKC","NBA","MEM","NBA","4","3"
"2011","CF","N","MIA","NBA","BOS","NBA","4","3"
"2011","CFR","L","IND","NBA","ORL","NBA","4","1"
"2011","CFR","L","MIA","NBA","NYK","NBA","4","1"
"2011","CFR","L","BOS","NBA","ATL","NBA","4","2"
"2011","CFR","L","PHI","NBA","CHI","NBA","4","2"
"2011","CSF","M","MIA","NBA","IND","NBA","4","2"
"2011","CSF","M","BOS","NBA","PHI","NBA","4","3"
"2011","F","O","MIA","NBA","OKC","NBA","4","1"
"2011","CF","N","OKC","NBA","SAS","NBA","4","2"
"2011","CFR","L","OKC","NBA","DAL","NBA","4","0"
"2011","CFR","L","SAS","NBA","UTA","NBA","4","0"
"2011","CFR","L","LAC","NBA","MEM","NBA","4","3"
"2011","CFR","L","LAL","NBA","DEN","NBA","4","3"
"2011","CSF","M","SAS","NBA","LAC","NBA","4","0"
"2011","CSF","M","OKC","NBA","LAL","NBA","4","1"
"1980","F","O","BOS","NBA","HOU","NBA","4","2"
"1986","F","O","LAL","NBA","BOS","NBA","4","2"
"1988","F","O","DET","NBA","LAL","NBA","4","0"
"1967","F","D","PTP","ABA","NOB","ABA","4","3"
"1967","DF","C","PTP","ABA","MNM","ABA","4","1"
"1967","DF","C","NOB","ABA","DLC","ABA","4","1"
"1967","DSF","B","MNM","ABA","KEN","ABA","3","2"
"1967","DSF","B","PTP","ABA","INA","ABA","3","0"
"1967","DSF","B","DLC","ABA","HSM","ABA","3","0"
"1967","DSF","B","NOB","ABA","DNR","ABA","3","2"
"1968","F","D","OAK","ABA","INA","ABA","4","1"
"1968","DF","C","INA","ABA","MMF","ABA","4","1"
"1968","DF","C","OAK","ABA","NOB","ABA","4","0"
"1968","DSF","B","INA","ABA","KEN","ABA","4","3"
"1968","DSF","B","MMF","ABA","MNP","ABA","4","3"
"1968","DSF","B","NOB","ABA","DLC","ABA","4","3"
"1968","DSF","B","OAK","ABA","DNR","ABA","4","3"
"1969","F","D","INA","ABA","LAS","ABA","4","2"
"1969","DF","C","INA","ABA","KEN","ABA","4","1"
"1969","DF","C","LAS","ABA","DNR","ABA","4","1"
"1969","DSF","B","INA","ABA","CAR","ABA","4","0"
"1969","DSF","B","KEN","ABA","NYA","ABA","4","3"
"1969","DSF","B","DNR","ABA","WSA","ABA","4","3"
"1969","DSF","B","LAS","ABA","DLC","ABA","4","2"
"1970","F","D","UTS","ABA","KEN","ABA","4","3"
"1970","DF","C","KEN","ABA","VIR","ABA","4","2"
"1970","DF","C","UTS","ABA","INA","ABA","4","3"
"1970","DSF","B","KEN","ABA","FLO","ABA","4","2"
"1970","DSF","B","VIR","ABA","NYA","ABA","4","2"
"1970","DSF","B","INA","ABA","MMP","ABA","4","0"
"1970","DSF","B","UTS","ABA","TEX","ABA","4","0"
"1970","DT","A","TEX","ABA","DNR","ABA","1","0"
"1971","F","D","INA","ABA","NYA","ABA","4","2"
"1971","DF","C","NYA","ABA","VIR","ABA","4","3"
"1971","DF","C","INA","ABA","UTS","ABA","4","3"
"1971","DSF","B","NYA","ABA","KEN","ABA","4","2"
"1971","DSF","B","VIR","ABA","FLO","ABA","4","0"
"1971","DSF","B","INA","ABA","DNR","ABA","4","3"
"1971","DSF","B","UTS","ABA","DLC","ABA","4","0"
"1972","F","D","INA","ABA","KEN","ABA","4","3"
"1972","DF","C","KEN","ABA","CAR","ABA","4","3"
"1972","DF","C","INA","ABA","UTS","ABA","4","2"
"1972","DSF","B","CAR","ABA","NYA","ABA","4","1"
"1972","DSF","B","KEN","ABA","VIR","ABA","4","1"
"1972","DSF","B","INA","ABA","DNR","ABA","4","1"
"1972","DSF","B","UTS","ABA","SDA","ABA","4","0"
"1973","F","D","NYA","ABA","UTS","ABA","4","1"
"1973","DF","C","NYA","ABA","KEN","ABA","4","0"
"1973","DF","C","UTS","ABA","INA","ABA","4","3"
"1973","DSF","B","KEN","ABA","CAR","ABA","4","0"
"1973","DSF","B","NYA","ABA","VIR","ABA","4","1"
"1973","DSF","B","INA","ABA","SAA","ABA","4","3"
"1973","DSF","B","UTS","ABA","SDA","ABA","4","2"
"1973","DT","A","SDA","ABA","DNR","ABA","1","0"
"1974","F","D","KEN","ABA","INA","ABA","4","1"
"1974","DF","C","KEN","ABA","SSL","ABA","4","1"
"1974","DF","C","INA","ABA","DNA","ABA","4","3"
"1974","DSF","B","KEN","ABA","MMS","ABA","4","1"
"1974","DSF","B","SSL","ABA","NYA","ABA","4","1"
"1974","DSF","B","DNA","ABA","UTS","ABA","4","2"
"1974","DSF","B","INA","ABA","SAA","ABA","4","2"
"1974","DT","A","KEN","ABA","NYA","ABA","1","0"
"1975","F","D","NYA","ABA","DNA","ABA","4","2"
"1975","SF","C","DNA","ABA","KEN","ABA","4","3"
"1975","SF","C","NYA","ABA","SAA","ABA","4","3"
"1975","FR","B","KEN","ABA","INA","ABA","2","1"
